AskAPatient.fold-0.test,108367008,Dislocation of joint,dislocating,C0159970 C0159914 C0158100 C0434717 C0019554 C1282314 C0434694 C0158090 C0012691,,
AskAPatient.fold-0.test,166717003,Serum creatinine raised,elevated creatine,C0700225,C0151578 C0700225,C0700225 
AskAPatient.fold-0.test,402234004,Foot eczema,Eczema on feet,C0586748,C0013595 C0016504,
AskAPatient.fold-0.test,271681002,Stomach ache,pain in the pit of my stomach,C0235309 C0221512,C0030193 C0038351,
AskAPatient.fold-0.test,36031001,Burning feet,Burning feet,C0231772,C0231772,C0231772 
AskAPatient.fold-0.test,42399005,Renal failure,kidney malfunction,C0001623 C1963154 C0035078,C0022646 C0277785 C0227665,
AskAPatient.fold-0.test,419723007,Mentally dull,brain fog,C1621860,C0006104,
AskAPatient.fold-0.test,22253000,Pain,pain,C0030193 C1882272 C2598155,C0030193,C0030193 
AskAPatient.fold-0.test,247592009,Poor short-term memory,Short term memory loss,C0701811 C0025265,C0701811,C0701811 
AskAPatient.fold-0.test,3877011000036101,Lipitor,LIPITOR,C0593906,C0593906,C0593906 
AskAPatient.fold-0.test,3384011000036100,Arthrotec,Arthrotec,C0210355,C0210355,C0210355 
AskAPatient.fold-0.test,3877011000036101,Lipitor,Lipitor,C0593906,C0593906,C0593906 
AskAPatient.fold-0.test,22253000,Pain,pain,C0030193 C1882272 C2598155,C0030193,C0030193 
AskAPatient.fold-0.test,271807003,Rash,Rashes,C0015230,C0015230,C0015230 
AskAPatient.fold-0.test,62507009,Pins and needles,tingling on left arm,C0423572,C2242996 C0230347 C1268256,
AskAPatient.fold-0.test,308925008,Digestive symptom,digestion problems,C0476288,C0033213 C0232459 C0012238 C2081614 C0013395,
AskAPatient.fold-0.test,3877011000036101,Lipitor,Lipitor,C0593906,C0593906,C0593906 
AskAPatient.fold-0.test,9126005,Menstrual spotting,spotting,C0312414,C0025874 C0312414,C0312414 
AskAPatient.fold-0.test,3877011000036101,Lipitor,lipitor,C0593906,C0593906,C0593906 
