3384011000036100,Arthrotec,Arthrotec,C0210355,C0210355,C0210355 
3877011000036101,Lipitor,Lipitor,C0593906,C0593906,C0593906 
3877011000036101,Lipitor,lipitor,C0593906,C0593906,C0593906 
387603000,Impairment of balance,problems with balance,C0575090,C0241981,
3877011000036101,Lipitor,LIPITOR,C0593906,C0593906,C0593906 
54981004,Charleyhorse,charley horses in breasts,C0277823 C0006141,C0277823,C0277823 
162076009,Excessive upper gastrointestinal gas,gets tired a lot,C0557875 C0162435,C0426623 C0426624,
262286000,Weight increased,weight increase,C0557899 C0043094,C0557899 C0043094,C0557899 C0043094 
162076009,Excessive upper gastrointestinal gas,excess gas,C0596601,C0426623 C0426624,
161891005,Backache,pain in back,C0030193,C0004604,
102556003,Pain in upper limb,arm aching,C0234238 C0446516 C1140618,C0239377,
40806005,Derealisation,legs feel like they don't belong to me,C1140621 C0013987,C0233754,
267052005,Flatulence/wind,flatulence,C0016204 C1962956,C0016204,C0016204 
86094006,Chronic rhinitis,chronic rhinitus,C0008711,C0008711,C0008711 
63102001,Visual disturbance,Loss of Vison,,C0547030 C0029844 C0348571,
68962001,Myalgia,muscle pains,C0231528 C1963177,C0231528,C0231528 
22253000,Pain,pain,C0030193,C1882272 C2598155 C0030193,C0030193 
30989003,Knee pain,kneejoin paint,,C0231749,
3877011000036101,Lipitor,lipitor,C0593906,C0593906,C0593906 
76948002,Severe pain,extreme muscle pain,C0231528 C1963177,C0278140,
271782001,Drowsy,drowsiness,C2830004 C0013144,C0013144,C0013144 
102480002,Generalised acute body pains,feel like I got hit by a truck,C0275626 C2919111 C0013987,C0686728,
48167000,Amnesia,memory loss,C0751295 C0002622,C3824794 C0002622,C0002622 
162076009,Excessive upper gastrointestinal gas,gassy,,C0426623 C0426624,
87486003,Aphasia,aphasia,C0003537,C0003537,C0003537 
2764000,Joint crepitus,cracking sensations in my joints,C2229507 C0542538,C0231592,
48167000,Amnesia,memory loss,C0751295 C0002622,C3824794 C0002622,C0002622 
249915009,Hand joint stiff,stiffness in my hands,C0018563 C0427008,C0427036,
300954003,Pain in calf,intense calf pain,C0236040,C0236040,C0236040 
3384011000036100,Arthrotec,Arthrotec,C0210355,C0210355,C0210355 
422587007,Nausea,nauseous,C0027497,C0027497 C1963179,C0027497 
449917004,Cramp in lower limb,leg cramps,C0023218,C3266180 C3266179,
55300003,Muscle cramp,cramps,C0026821,C0026821,C0026821 
248490000,Bloating symptom,bloating,C1291077,C1291077,C1291077 
282299006,Unable to balance,loss of balance,C0241981,C0542274 C0560187 C0241981,C0241981 
247994001,Noise intolerance,noise intolerance,C0220929 C0231199 C1744706 C1547317 C0231197,C0424315,
8357008,Reduced libido,no sex drive,C0023618,C0011124,
429040005,Ulcer,ulcers,C0041582,C0041582 C1547940 C1550672,C0041582 
68235000,Nasal congestion,stuffy nose,C0027424,C2136984 C0027424,C0027424 
235856003,Liver disease,liver problems,C0577060,C0023895 C0455417 C2186532,
84229001,Fatigue,fatigued,C0015672 C2024893,C0015672 C4050243,C0015672 
34436003,Haematuria,hematuria,C0018965 C0221752 C1858397,C0018965,C0018965 
266599000,Dysmenorrhoea,severe menstual pain,C0030193 C1306232,C0013390 C0025344,
3877011000036101,Lipitor,Lipitor,C0593906,C0593906,C0593906 
55300003,Muscle cramp,muscle cramps,C0026821 C0023218,C0026821,C0026821 
415690000,Sweating,sweating,C0038990,C0038990,C0038990 
162397003,Pain in throat,sore throat,C0423631 C0242429 C0031350,C0242429,C0242429 
247472004,Hives,painfull welts on bottom of feet,C0016504 C0221232 C0030193,C0042109,
26544005,Muscle weakness,total muscel weakness,C3714552,C0151786 C1834451 C0030552,
55300003,Muscle cramp,muscle cramps,C0026821 C0023218,C0026821,C0026821 
3877011000036101,Lipitor,Lipitor,C0593906,C0593906,C0593906 
81680005,Neck pain,pain in neck,C0007859,C0007859 C1963180,C0007859 
3877011000036101,Lipitor,lipitor,C0593906,C0593906,C0593906 
282145008,Unable to walk,inablity to walk,C0560046,C0560046,C0560046 
2733002,Heel pain,heel pain,C0231780,C0231780,C0231780 
26544005,Muscle weakness,muscle weakness in mouth area,C1168241 C0240479 C0587246 C0151786 C0239831 C0030552 C0586738 C2673994 C1834451 C0150841,C0151786 C1834451 C0030552,C0151786 C0030552 C1834451 
56265001,Heart disease,coronary disease,C0010068 C1956346,C0018799,
450316000,Severe dehydration,extreme dehydration,C0011175 C1321013 C1963090 C0034997,C3472181,
57676002,Arthralgia,severe joint aches,C0234238 C1306232,C0003862,
449917004,Cramp in lower limb,leg cramps,C0023218,C3266180 C3266179,
247373008,Ankle pain,sore ankles,C0234233,C0238656,
30989003,Knee pain,Major sorness in knees,C0022742,C0231749,
8708008,Sharp pain,sharp pain in the ball of my right foot,C1279998 C0230460 C0455270,C0455270,C0455270 
3877011000036101,Lipitor,lipitor,C0593906,C0593906,C0593906 
249914008,Hip stiff,aches and stiffness hips,C0234238 C0427008 C0019552,C0239957,
271587009,Stiffness,stiffness,C0427008,C0427008,C0427008 
36955009,Loss of taste,taste loss,C2364111,C2364111,C2364111 
10601006,Pain in lower limb,leg pain,C0023222 C0839480,C0023222 C0839480,C0023222 C0839480 
22253000,Pain,pain,C0030193,C1882272 C2598155 C0030193,C0030193 
162076009,Excessive upper gastrointestinal gas,gastrointestinal cramping,C0026821 C1446787 C2707256 C0849766 C0017185 C0809794 C2697368 C0017173 C0017181 C0436865 C0184122 C0687713 C0596601 C1141929 C0920703 C0203054 C0237938 C0744333,C0426623 C0426624,
193462001,Insomnia,insomnia,C1963237 C0917801 C1950154,C1963237 C0917801 C1950154,C1963237 C0917801 C1950154 
397803000,Erectile dysfunction,erectile disfunction,C0242350,C1961100 C0242350,C0242350 
3877011000036101,Lipitor,Lipitor,C0593906,C0593906,C0593906 
44054006,Type 2 diabetes mellitus,type2 diabetes,C0011860 C0011847 C0011849,C0271637 C0271638 C0948891 C0011854 C0011860 C0271636 C4014362 C3495862 C3495822,C0011860 
63102001,Visual disturbance,vision problems,C0042789 C2081614 C0033213,C0547030 C0029844 C0348571,
86651002,Pulse fast,rapid pulse,C0039231,C0039231,C0039231 
3877011000036101,Lipitor,lipitor,C0593906,C0593906,C0593906 
246636008,Blurred vision - hazy,blurriness,,C0344232,
3877011000036101,Lipitor,lipitor,C0593906,C0593906,C0593906 
76948002,Severe pain,severe pain in the upper back,C0278140,C0278140,C0278140 
47933007,Foot pain,ball of my left foot was so painful,C0230461 C0030193 C1279999,C2016948 C0016512,
47933007,Foot pain,foot pain,C2016948 C0016512,C2016948 C0016512,C2016948 C0016512 
68962001,Myalgia,muscle pain,C0231528 C1963177,C0231528,C0231528 
10601006,Pain in lower limb,leg pain,C0023222 C0839480,C0023222 C0839480,C0023222 C0839480 
21930011000036101,ezetimibe,zetia,C1170736,C1142985,
25064002,Headache,headache,C0018681 C2096315,C0018681 C2096315,C0018681 C2096315 
55300003,Muscle cramp,cramps,C0026821,C0026821,C0026821 
397825006,Gastric ulcer,stomache ulcers,C0041582 C0038351,C0038358 C0559140,
3877011000036101,Lipitor,Lipitors,C0593906,C0593906,C0593906 
77442011000036106,cyanocobalamin,B-12,,C0042845,
36349006,Burning pain,Severe (burning) pain in lower left arm,C1547227 C1268256 C4050465 C4050466 C0264097 C1561581 C0085624 C0006434 C0230347 C1547231 C0030193,C0234230,
3877011000036101,Lipitor,Lipitor,C0593906,C0593906,C0593906 
55929007,Feeling irritable,irritability,C2700617 C0022107,C0022107,C0022107 
286641001,Moody,moodiness,C0241999,C0554980,
81680005,Neck pain,slight neck pain,C0007859 C1963180,C0007859 C1963180,C0007859 C1963180 
55300003,Muscle cramp,cramping,C0026821 C1446787,C0026821,C0026821 
41652007,Eye pain,eyes hurt,C0015392,C1959630 C0151827,
3877011000036101,Lipitor,Lipitor,C0593906,C0593906,C0593906 
80182007,Irregular menstruation,irregular periods,C0156404 C0425942,C0156404,C0156404 
62315008,Diarrhoea,diarrhea,C1963091 C0011991,C0474498 C0011991,C0011991 
162352007,Ringing in ear,last straw was ringing in the ears,C0040264,C0040264,C0040264 
81680005,Neck pain,pain in neck,C0007859,C0007859 C1963180,C0007859 
3877011000036101,Lipitor,lipitor,C0593906,C0593906,C0593906 
426899007,Pain provoked by walking,walk was a very painful and a very slow,C0443347 C0030193,C1960732,
282145008,Unable to walk,unable to walk,C0560046,C0560046,C0560046 
3877011000036101,Lipitor,lipitor,C0593906,C0593906,C0593906 
35489007,Depression,depression,C0812393 C0520887 C0429108 C0035143 C0344315 C0011581 C1579931 C0011570 C0429068 C1999266 C4049644,C0812393 C0520887 C0035143 C0344315 C0011581 C1579931 C0011570 C2121458 C4049644 C1999266,C0812393 C0520887 C0035143 C0344315 C0011581 C1579931 C0011570 C1999266 C4049644 
3080011000036109,Tylenol,tylenol 8,C0699142,C0699142,C0699142 
68962001,Myalgia,muscle achs,C0234238,C0231528,
387603000,Impairment of balance,POOR BALANCE,C0234964,C0241981,
3877011000036101,Lipitor,Lipitor,C0593906,C0593906,C0593906 
13791008,Asthenia,weakness,C3714552,C0004093,
76948002,Severe pain,extremly bad pains in arms,C0446516 C0030193,C0278140,
84017003,Bursitis,bursitus,,C0006444,
21288011000036105,diclofenac,Cataflam,C0719187,C0012091,
274279008,Renal pain,kidney pain,C0558489 C1963226,C0558489,C0558489 
77424011000036100,ubidecarenone,CoQ10,C0056077,C0056077,C0056077 
81498004,Bursitis of hip,bursitis in the hips,C0006444 C0019552,C0263922,
84445001,Joint stiffness,joint stiffness,C0162298 C2109023 C0240129 C0239957,C0162298 C0427009,C0162298 
3877011000036101,Lipitor,lipitor,C0593906,C0593906,C0593906 
55300003,Muscle cramp,cramping,C0026821 C1446787,C0026821,C0026821 
35489007,Depression,unwarranted depression,C0812393 C0520887 C0429108 C0035143 C0344315 C0011581 C1579931 C0011570 C0429068 C1999266 C4049644,C0812393 C0520887 C0035143 C0344315 C0011581 C1579931 C0011570 C2121458 C4049644 C1999266,C0812393 C0520887 C0035143 C0344315 C0011581 C1579931 C0011570 C1999266 C4049644 
21134002,Disability,disability,C0231170,C0231170,C0231170 
271587009,Stiffness,stiffness,C0427008,C0427008,C0427008 
55533009,Forgetful,forgetfulness,C0542476,C0542476,C0542476 
301345002,Difficulty sleeping,rarely sleep well,C0037313 C0424522 C0013144,C0235162 C3641752,
40917007,Confusion,mental confusion,C0009676,C0683369 C2712099 C0009676 C1963086,C0009676 
3424008,Tachycardia,increased heart rate,C0039231 C0428977,C0558452 C0039231 C3827868 C0428977,C0039231 C0428977 
29857009,Chest pain,chest aches,C0235715,C2926613 C0008031,
271681002,Stomach ache,stomach pain,C1963242 C0221512,C0221512 C0235309,C0221512 
3877011000036101,Lipitor,Lipitor,C0593906,C0593906,C0593906 
80313002,Palpitations,heart palpitations,C0030252 C0018787 C0425596 C3160712,C0030252 C3160712,C0030252 C3160712 
285395009,Strain of calf muscle,pulled/strained calf,C0580846 C0080194 C0230445,C0563284,
68962001,Myalgia,muscle aches,C0231528,C0231528,C0231528 
62315008,Diarrhoea,diahrea,,C0474498 C0011991,
62315008,Diarrhoea,diarrhea,C1963091 C0011991,C0474498 C0011991,C0011991 
609600000,Neuropathy of lower limb,leg neuropathy,C0442874 C0042075 C1140621,C3662005 C0494489,
68962001,Myalgia,muscle pains,C0231528 C1963177,C0231528,C0231528 
271584002,Cold hands,cold hands,C0424740,C0424740,C0424740 
22253000,Pain,pain,C0030193,C1882272 C2598155 C0030193,C0030193 
22298006,Myocardial infarction,heart attack,C0027051,C2926063 C0155626 C3845502 C0455406 C0428953 C3810814 C0948369 C0027051 C0155668,C0027051 
35489007,Depression,depressed,C0520887 C0344315,C0812393 C0520887 C0035143 C0344315 C0011581 C1579931 C0011570 C2121458 C4049644 C1999266,C0520887 C0344315 
422587007,Nausea,nausea,C0027497,C0027497 C1963179,C0027497 
228158008,Walking disability,struggling walking too far,C2346415 C2368355,C0311394,
63102001,Visual disturbance,at times felt like i'm going blind,C0456909,C0547030 C0029844 C0348571,
3723001,Arthritis,arthritis,C0158026 C0003864 C0263776 C0541786 C1328469 C0003873 C1405877,C3267876 C0003864,C0003864 
3877011000036101,Lipitor,Lipitor,C0593906,C0593906,C0593906 
10601006,Pain in lower limb,debillitating leg pain,C0023222 C0839480,C0023222 C0839480,C0023222 C0839480 
3877011000036101,Lipitor,lipitor,C0593906,C0593906,C0593906 
35489007,Depression,depression,C0812393 C0520887 C0429108 C0035143 C0344315 C0011581 C1579931 C0011570 C0429068 C1999266 C4049644,C0812393 C0520887 C0035143 C0344315 C0011581 C1579931 C0011570 C2121458 C4049644 C1999266,C0812393 C0520887 C0035143 C0344315 C0011581 C1579931 C0011570 C1999266 C4049644 
161891005,Backache,back pain,C0004604 C0677061 C1963071,C0004604,C0004604 
3723001,Arthritis,arthritis,C0158026 C0003864 C0263776 C0541786 C1328469 C0003873 C1405877,C3267876 C0003864,C0003864 
68962001,Myalgia,Muscule pain,C0030193,C0231528,
68962001,Myalgia,muscle pain,C0231528 C1963177,C0231528,C0231528 
88092000,Muscle atrophy,muscle loss,,C0541794 C0026846,
