225610004,Stiff limbs,joint stiffness in feet,C0013987 C1527305 C0546816 C0332575 C0015672,C0557875,
60032008,Unable to concentrate,not concentrating well,,C1291077,
88092000,Muscle atrophy,muscles have diminished,C0152338 C0234238,C0281856,
404640003,Dizziness,DIZZY,C0234233 C3714552,C0231528,
88092000,Muscle atrophy,muscle atrophy legs,C0038435,C0723460 C0038435,C0038435 
449917004,Cramp in lower limb,leg cramps,C0593906,C0593906,C0593906 
3877011000036101,Lipitor,Lipitor,C0030193,C1882272 C2598155 C0030193,C0030193 
25064002,Headache,extreme headaches,C0679392 C0027543 C0085660 C3887513 C0410478,C3662261,
22253000,Pain,pain,C0848277,C1135208 C0042571 C1564535,
21520011000036107,misoprostol,misoprostol,C0593906,C0593906,C0593906 
3877011000036101,Lipitor,Lipitor,C2242996,C0423572,
127354003,Increased albumin,elevated urine albumin,C2116289,C0026826,
275921007,Scalp itchy,itch on my head,,C0011991 C0474498,
129565002,Myopathy,severe myopathy,C2718625,C0012091,
76948002,Severe pain,severe pain in my feet,C0593906,C0593906,C0593906 
301345002,Difficulty sleeping,difficulty sleeping,C0033775,C0033775,C0033775 
3877011000036101,Lipitor,lipitor,C0593906,C0593906,C0593906 
22253000,Pain,pain,C0023884,C0085605,
309086004,Paraesthesia of hand,tingling hands,C2024893 C0015672,C4050243 C0015672,C0015672 
77424011000036100,ubidecarenone,Q10,C0027497,C0027497 C1963179,C0027497 
162076009,Excessive upper gastrointestinal gas,Gas,C1269903 C0278140 C0448482,C0278140,C0278140 
22253000,Pain,pain,C0030193,C1882272 C2598155 C0030193,C0030193 
3877011000036101,Lipitor,Lipitor,C0593906,C0593906,C0593906 
3877011000036101,Lipitor,liptor,C0085633,C0085633,C0085633 
77436011000036106,fish oil natural,fish oils,C0593906,C0593906,C0593906 
4344011000036106,Neurontin,Neurontin,C0588008,C0588008,C0588008 
3848011000036104,Pravachol,Pravachol,C0030193,C1882272 C2598155 C0030193,C0030193 
10601006,Pain in lower limb,pain in my legs,C0030193,C1882272 C2598155 C0030193,C0030193 
3877011000036101,Lipitor,Lipitor,C0022742 C0030193,C0231749,
55300003,Muscle cramp,cramps,C0426396,C0427824,
95673003,Paraesthesia of upper limb,left shoulder tingles,C0162435 C0038990,C0700590,
49049000,Parkinson's disease,parkinson's disease,C0593906,C0593906,C0593906 
