21522001,Abdominal pain,abdominal pain,C2096293 C0042571,C1135208 C0042571 C1564535,C0042571 
26079004,Tremor,tremors in right hand,C0231528 C1963177,C0231528,C0231528 
202882003,Plantar fasciitis,plantar fasciitis of my left foot,C0592264 C0699958,C0592264 C2239291 C0699958 C0242209,C0592264 C0699958 
82991003,Generalised aches and pains,hert from head to my toe,C0424522 C0152338 C0037313 C0013144,C0427008,
3877011000036101,Lipitor,Lipitor,C0026821 C1446787,C0026821,C0026821 
30989003,Knee pain,knee pain,C0017168,C0017168,C0017168 
228158008,Walking disability,dificultly in walking,C0236040,C0236040,C0236040 
53215011000036102,Advil,Advil,C0002622,C3824794 C0002622,C0002622 
289530006,Vaginal bleeding,vaginal bleeding,C0231528 C1963177,C0231528,C0231528 
202882003,Plantar fasciitis,sore feet (Faciitis),C1963071 C0004604,C0004604,C0004604 
24184005,Finding of increased blood pressure,INCREASED BLOOD PRESSURE,C0235325,C0426623 C0426624,
271681002,Stomach ache,stomach pain,C3714552,C0004093,
3877011000036101,Lipitor,Lipitor,C0886384,C4050243 C0015672,
68962001,Myalgia,muscular pain,C0003537 C0233832 C2706915 C0033348 C1705179,C0003537,C0003537 
267052005,Flatulence/wind,flatulence,C0593906,C0593906,C0593906 
90673000,Burning sensation,burning,C0542476,C0542476,C0542476 
81680005,Neck pain,tremendous neck pain,C0237529,C0549257,
49218002,Hip pain,hip pain,C0429108 C0812393 C0035143 C0429068 C4049644 C0011570 C1999266 C0011581 C0520887 C1579931 C0344315,C0812393 C0035143 C4049644 C0011570 C1999266 C0011581 C0520887 C1579931 C0344315 C2121458,C0812393 C0035143 C4049644 C0011570 C1999266 C0011581 C0520887 C1579931 C0344315 
247472004,Hives,severe welts,C2096315 C0018681,C2096315 C0018681,C2096315 C0018681 
60238002,Muscle twitch,Deeper muscle twitches on butt,C2024893 C0015672,C4050243 C0015672,C0015672 
310495003,Mild depression,mild depression,C0593906,C0593906,C0593906 
249366005,Bleeding from nose,bloody noes,,C0027497 C1963179,
193462001,Insomnia,insomnia,C0162298,C0162298 C0427009,C0162298 
6142004,Influenza,flu,C2024893 C0015672,C4050243 C0015672,C0015672 
25064002,Headache,headaches,C0027051,C0027051 C2926063 C0455406 C0428953 C3810814 C0155626 C0155668 C0948369 C3845502,C0027051 
56608008,Pain in wrist,wrists pain,C0002871,C0002871,C0002871 
35489007,Depression,depression,C0593906,C0593906,C0593906 
43116000,Eczema,eczema,C0593906,C0593906,C0593906 
68962001,Myalgia,very painful muscle aches in the neck,C0332575 C0015672,C4050243 C0015672,C0015672 
62507009,Pins and needles,Tingling in extremities,C0234233 C0013769,C0239266,
84229001,Fatigue,fatigue,C0030193,C1882272 C2598155 C0030193,C0030193 
4740000,Herpes zoster,shingles,C0751372,C0027796,
62507009,Pins and needles,tingling in my arms,C0817096 C0030193,C0008031 C2926613,
129565002,Myopathy,irreversible muscle damage,C0038351 C0030193,C0499476 C0423653 C0581869 C1875603 C0000737,
62315008,Diarrhoea,diahorea,C0015695 C2711227,C0015695 C2711227,C0015695 C2711227 
429783005,Paraesthesia of lower extremity,tingling in my legs,C0593906,C0593906,C0593906 
60119000,Exhaustion,exhaustion,C0023218,C3266179 C3266180,
79890006,Loss of appetite,anorexia,C0026821 C1446787,C0026821,C0026821 
3877011000036101,Lipitor,lipitor,,C1621860,
21814011000036109,hydrochlorothiazide,Hydrochlorothiazide,C0021400,C0521839,
62507009,Pins and needles,tingling in the hands,C0022742 C0234238,C0231749,
50415004,Moderate pain,Strong pain,C0026821,C0026821,C0026821 
47933007,Foot pain,pain on the sole of my feet,C0007859 C1963180,C0007859 C1963180,C0007859 C1963180 
111224002,Derangement of meniscus,miniscus damage,C0593906,C0593906,C0593906 
