167232003,Urine: dark/concentrated,urine like root beer,C1318154 C0591833 C0042036,C0427824,
40917007,Confusion,confusion,C0683369 C0009676 C1963086,C0683369 C2712099 C0009676 C1963086,C0683369 C0009676 C1963086 
3877011000036101,Lipitor,lipitor,C0593906,C0593906,C0593906 
102551008,Cramp in foot,cramps in my feet,C0026821 C0016504,C0178422,
7006003,Clumsiness,clumsiness,C0233844,C0233844,C0233844 
57676002,Arthralgia,JOINT PAIN,C1963066 C0003862,C0003862,C0003862 
77692006,Hypersomnia,falling asleep all the time,C0085639 C0037313 C0424522,C0917799,
248657009,Pounding heart,HEART THROBBING OUT OF MY CHEST,C0030252 C0817096,C0235240,
57676002,Arthralgia,joint pains,C0030193,C0003862,
3877011000036101,Lipitor,Lipitor,C0593906,C0593906,C0593906 
53430007,Mastalgia,breast pain,C1963166 C0024902,C0948665 C1657970 C0024902,C0024902 
68962001,Myalgia,intense muscle pain with intense burning in my legs,C0231528 C0085624 C0006434 C1963177 C1140621,C0231528,C0231528 
224960004,Tired,tired,C0557875,C0557875,C0557875 
419076005,Allergic reaction,allergic reaction,C0863090 C1171179 C0013182 C3662262 C1527304 C0020517 C0413234,C1171179 C1527304 C0020517,C1171179 C1527304 C0020517 
23924001,Tight chest,chest tightness,C0232292,C0232292 C3844327,C0232292 
279039007,Low back pain,Very painful muscle aches in lower back,C0231528 C0030193,C0024031,
84229001,Fatigue,fatigue,C0015672 C2024893,C0015672 C4050243,C0015672 
249489001,Choking,choking,C0011119 C0008301 C2051649,C0008301,C0008301 
76948002,Severe pain,Severe abdominal pain,C1547227 C0423646 C4050465 C2199213 C1561581 C0694551 C1547231 C0238552 C0581869 C0238551 C0264097 C0423651 C0277969 C0000737 C4050466 C0235299,C0278140,
84229001,Fatigue,much fatigue,C0015672 C2024893,C0015672 C4050243,C0015672 
422587007,Nausea,wanted to vomit,C0042965 C0042963,C0027497 C1963179,
287046004,Pain in right arm,pain in upper right arm,C4048756 C2221330 C1268255 C0230346 C0030193,C0564821 C2129383,
28551000168108,Voltaren,Voltaren,C0699958 C0592264,C0699958 C0592264,C0699958 C0592264 
13791008,Asthenia,extreme fatigue,C0015672,C0004093,
248274002,Lack of energy,no energy,C0424589,C0015672,
8357008,Reduced libido,Sex drive has decreased,C0032827 C1295669 C0023618 C1295666 C0520870 C0728725 C0520831 C0239787 C0162119 C1295611,C0011124,
3877011000036101,Lipitor,Liptor,,C0593906,
55929007,Feeling irritable,crabby,,C0022107,
3877011000036101,Lipitor,Lipitor,C0593906,C0593906,C0593906 
68962001,Myalgia,achy muscles,,C0231528,
3877011000036101,Lipitor,Lipitor,C0593906,C0593906,C0593906 
35489007,Depression,depression,C0812393 C0520887 C0429108 C0035143 C0344315 C0011581 C1579931 C0011570 C0429068 C1999266 C4049644,C0812393 C0520887 C0035143 C0344315 C0011581 C1579931 C0011570 C2121458 C4049644 C1999266,C0812393 C0520887 C0035143 C0344315 C0011581 C1579931 C0011570 C1999266 C4049644 
4031011000036106,Crestor,Crestor,C1098080,C1098080,C1098080 
25064002,Headache,headaches,C0018681 C2096315,C0018681 C2096315,C0018681 C2096315 
25064002,Headache,headaches,C0018681 C2096315,C0018681 C2096315,C0018681 C2096315 
3877011000036101,Lipitor,Lipitor,C0593906,C0593906,C0593906 
22253000,Pain,pain,C0030193,C1882272 C2598155 C0030193,C0030193 
76948002,Severe pain,severe muscle pains,C0231528 C1963177 C1306232,C0278140,
3877011000036101,Lipitor,Lipitor,C0593906,C0593906,C0593906 
225014007,Feeling empty,stomach feels empty all the time,C0013987 C0038351,C1527305,
282145008,Unable to walk,UNABLE TO WALK,C0560046,C0560046,C0560046 
246636008,Blurred vision - hazy,Eye sight appeared foggy,C1550636 C1546630 C1280202 C0154094 C0015392 C0015397,C0344232,
271681002,Stomach ache,stomach pains,C0030193 C0038351,C0221512 C0235309,
248490000,Bloating symptom,bloating,C1291077,C1291077,C1291077 
247592009,Poor short-term memory,short term memory loss,C0025265 C0701811,C0025265 C0701811,C0025265 C0701811 
3877011000036101,Lipitor,lipitor,C0593906,C0593906,C0593906 
267039000,Swollen ankle,ankle swelling,C2038764 C0235439,C0235439,C0235439 
87715008,Aptyalism,dry throat and mouth,C0235234 C0545775,C0043352 C0037036,
68962001,Myalgia,muscle aches,C0231528,C0231528,C0231528 
57676002,Arthralgia,pain in my joints,C0030193,C0003862,
449917004,Cramp in lower limb,leg cramps,C0023218,C3266180 C3266179,
57676002,Arthralgia,joint pains,C0030193,C0003862,
271681002,Stomach ache,stomach pain,C1963242 C0221512,C0221512 C0235309,C0221512 
45326000,Shoulder pain,Terrible pain in shoulders,C0037004 C0030193,C0423670 C0037011,
22298006,Myocardial infarction,heart attack,C0027051,C2926063 C0155626 C3845502 C0455406 C0428953 C3810814 C0948369 C0027051 C0155668,C0027051 
3384011000036100,Arthrotec,Artrotec,,C0210355,
10601006,Pain in lower limb,legs just ached,C1140621,C0023222 C0839480,
68962001,Myalgia,muscle pain,C0231528 C1963177,C0231528,C0231528 
76948002,Severe pain,Severe lower back pain,C1547227 C1561581 C4050465 C2168111 C0264097 C4050466 C0024031 C1547231,C0278140,
267036007,Dyspnoea,Shortness of Breath,C3274920 C2707305 C0013404 C4054032 C4054523 C4054349 C3641530,C0013404,C0013404 
35489007,Depression,depression,C0812393 C0520887 C0429108 C0035143 C0344315 C0011581 C1579931 C0011570 C0429068 C1999266 C4049644,C0812393 C0520887 C0035143 C0344315 C0011581 C1579931 C0011570 C2121458 C4049644 C1999266,C0812393 C0520887 C0035143 C0344315 C0011581 C1579931 C0011570 C1999266 C4049644 
3877011000036101,Lipitor,Lipitor,C0593906,C0593906,C0593906 
301345002,Difficulty sleeping,doesnt sleep very well at night,C0037313 C0424522 C0013144,C0235162 C3641752,
22253000,Pain,pains,C0030193,C1882272 C2598155 C0030193,C0030193 
43724002,Chill,cold shivers,C0009443 C0234192 C0036973,C0085593,
81680005,Neck pain,neck ache,C0007859,C0007859 C1963180,C0007859 
76948002,Severe pain,extreme pain,C0030193,C0278140,
10601006,Pain in lower limb,pain in legs,C1140621 C0030193,C0023222 C0839480,
35489007,Depression,depression,C0812393 C0520887 C0429108 C0035143 C0344315 C0011581 C1579931 C0011570 C0429068 C1999266 C4049644,C0812393 C0520887 C0035143 C0344315 C0011581 C1579931 C0011570 C2121458 C4049644 C1999266,C0812393 C0520887 C0035143 C0344315 C0011581 C1579931 C0011570 C1999266 C4049644 
55300003,Muscle cramp,cramps,C0026821,C0026821,C0026821 
76948002,Severe pain,severe muscle pain in left arm,C1268256 C3862404 C0230347,C0278140,
3877011000036101,Lipitor,Lipitor,C0593906,C0593906,C0593906 
76948002,Severe pain,severe chest pain,C2926613 C1306232 C0008031,C0278140,
48167000,Amnesia,memory loss,C0751295 C0002622,C3824794 C0002622,C0002622 
228158008,Walking disability,hard to pick up feet,C0016504,C0311394,
80313002,Palpitations,Palpatations,C0030247,C0030252 C3160712,
267032009,Tired all the time,Always tired,C0557875 C3812891,C0557875,C0557875 
67251005,Increased liver function,liver readings went up,C0023884,C0877359 C0232743 C0232744,
3877011000036101,Lipitor,lipitor,C0593906,C0593906,C0593906 
387603000,Impairment of balance,BALANCE PROBLEMS,C0575090,C0241981,
3298011000036103,Lipex,LIPEX,,,
84229001,Fatigue,SEVERE fatigue,C1306232 C0015672 C2024893,C0015672 C4050243,C0015672 
22253000,Pain,pain,C0030193,C1882272 C2598155 C0030193,C0030193 
22253000,Pain,pain,C0030193,C1882272 C2598155 C0030193,C0030193 
48167000,Amnesia,loss of memory,C0751295 C0002622,C3824794 C0002622,C0002622 
